command,mean,stddev,median,user,system,min,max
benchmark-editor Godot_v3.0.1-stable_x11.64,2.164836910865,0.004589690109539257,2.164836910865,1.1904961699999999,0.1409106,2.161591509865,2.168082311865
benchmark-editor Godot_v3.0.2-stable_x11.64,2.154280091365,0.0014162917492030283,2.154280091365,1.18547017,0.1382836,2.153278621865,2.1552815608650002
benchmark-editor Godot_v3.0.3-stable_x11.64,2.128694437865,0.007520186683935902,2.128694437865,1.21607767,0.1291396,2.1233768628650003,2.134012012865
benchmark-editor Godot_v3.0.4-stable_x11.64,2.160725466865,0.004152314866890725,2.160725466865,1.2157946700000002,0.1396971,2.157789336865,2.1636615968650004
benchmark-editor Godot_v3.0.5-stable_x11.64,2.1575918878650002,0.0032159499251076485,2.1575918878650002,1.2215161700000001,0.13484859999999999,2.155317867865,2.159865907865
benchmark-editor Godot_v3.0.6-stable_x11.64,2.136113402365,0.007027133146230082,2.136113402365,1.21133067,0.1480346,2.131144468865,2.141082335865
benchmark-editor Godot_v3.1.1-stable_x11.64,2.232351344365,0.014755958757022895,2.232351344365,0.9674411699999999,0.1980321,2.2219173058650004,2.242785382865
benchmark-editor Godot_v3.1.2-stable_x11.64,2.2404729433650004,0.005876702940151337,2.2404729433650004,0.9898466699999999,0.19337709999999997,2.2363174868650004,2.2446283998650003
benchmark-editor Godot_v3.1-stable_x11.64,2.222757417865,0.003256345521303207,2.222757417865,0.9641181699999999,0.19380809999999998,2.2204548338650003,2.225060001865
benchmark-editor Godot_v3.2.1-stable_x11.64,2.222920460365,0.006247081229496336,2.222920460365,1.05763967,0.1760251,2.218503106865,2.227337813865
benchmark-editor Godot_v3.2.2-stable_x11.64,2.225577399865,0.006188360961066219,2.225577399865,1.0538921700000001,0.17935109999999999,2.221201567865,2.229953231865
benchmark-editor Godot_v3.2.3-stable_x11.64,2.8063240033650003,0.09881014064489259,2.8063240033650003,0.9723321699999998,0.18709009999999998,2.7364546828650003,2.8761933238650004
benchmark-editor Godot_v3.2-stable_x11.64,2.2612154943650005,0.04544497713072036,2.2612154943650005,1.07804217,0.18085759999999998,2.2290810428650003,2.293349945865
benchmark-editor Godot_v3.3.1-stable_x11.64,3.539602622865,0.017529575913839347,3.539602622865,1.08404867,0.19436609999999999,3.527207340865,3.5519979048650003
benchmark-editor Godot_v3.3.2-stable_x11.64,3.540053882865,0.015995930601910145,3.540053882865,1.0508391700000002,0.20900809999999997,3.5287430518650003,3.5513647138650004
benchmark-editor Godot_v3.3.3-stable_x11.64,3.535760609365,0.0015153234681216893,3.535760609365,1.0513761700000002,0.1949031,3.5346891138650003,3.536832104865
benchmark-editor Godot_v3.3.4-stable_x11.64,3.542151611865,0.005855425389998842,3.542151611865,1.04190017,0.21199259999999998,3.538011200865,3.5462920228650003
benchmark-editor Godot_v3.3-stable_x11.64,3.5219269263650004,0.01998156555123239,3.5219269263650004,1.0484186700000002,0.2050711,3.5077978258650004,3.5360560268650003
benchmark-editor Godot_v3.4.1-stable_x11.64,3.587479743865,0.0074984615351909355,3.587479743865,1.05133317,0.2046616,3.582177530865,3.592781956865
benchmark-editor Godot_v3.4.2-stable_x11.64,3.575256494365,0.008651978262369329,3.575256494365,1.06052867,0.19072409999999998,3.569138621865,3.581374366865
benchmark-editor Godot_v3.4.3-stable_x11.64,3.596603819365,0.016452934421697606,3.596603819365,1.07144867,0.2013316,3.584969837865,3.608237800865
benchmark-editor Godot_v3.4.4-stable_x11.64,3.2012159598650003,0.51602245475247,3.2012159598650003,1.07254017,0.2037101,2.836332982865,3.566098936865
benchmark-editor Godot_v3.4-stable_x11.64,3.587820015865,0.008412057638619385,3.587820015865,1.0595091700000001,0.2050441,3.5818717928650003,3.593768238865
benchmark-editor Godot_v3.5-beta1_x11.64,3.594842940865,0.015105657708551852,3.594842940865,1.07683067,0.21595159999999997,3.5841616278650004,3.605524253865
benchmark-editor Godot_v3.5-beta2_x11.64,3.8946910533650003,0.0007376050037658083,3.8946910533650003,1.27020117,0.2243036,3.894169487865,3.895212618865
benchmark-editor Godot_v3.5-beta3_x11.64,3.787456784365,0.7048494453180928,3.787456784365,1.67551167,0.22185259999999998,3.2890529618650004,4.2858606068650005
benchmark-editor Godot_v3.5-beta4_x11.64,3.2822150473650002,0.015460067405457143,3.2822150473650002,1.69995517,0.2317051,3.2712831288650004,3.293146965865
benchmark-editor Godot_v3.5-beta5_x11.64,3.286862539865,0.0379872965649209,3.286862539865,1.7408586700000002,0.20828809999999998,3.260001464865,3.3137236148650002
benchmark-editor Godot_v3.5-rc1_x11.64,2.8302805358650005,0.6662719203589547,2.8302805358650005,1.7080371699999999,0.2338496,2.359155142865,3.3014059288650004
benchmark-editor Godot_v3.5-rc2_x11.64,3.2840595228650002,0.011658847318881997,3.2840595228650002,1.72314517,0.2152596,3.275815472865,3.2923035728650003
benchmark-editor Godot_v3.5-rc3_x11.64,3.587816646865,0.044146243298103224,3.587816646865,1.70773567,0.2270331,3.556600538865,3.619032754865
benchmark-editor Godot_v3.5-rc4_x11.64,3.680370939865,0.3041687390397944,3.680370939865,1.84667067,0.24774209999999997,3.465291161865,3.895450717865
benchmark-editor Godot_v4.0-alpha10_linux.64,4.218997795365,0.48103807451715513,4.218997795365,3.05483167,0.2958161,3.8788525108650003,4.559143079865001
benchmark-editor Godot_v4.0-alpha1_linux.64,3.126517556865,0.013369062850927505,3.126517556865,1.8163221699999998,0.2687271,3.1170642018650003,3.1359709118650003
benchmark-editor Godot_v4.0-alpha2_linux.64,3.424371089365,0.501327243539019,3.424371089365,1.78386617,0.2742676,3.069879195865,3.778862982865
benchmark-editor Godot_v4.0-alpha3_linux.64,3.0664105533650003,0.15608723383305023,3.0664105533650003,1.82807217,0.2856096,2.956040211865,3.1767808948650003
benchmark-editor Godot_v4.0-alpha4_linux.64,3.5151181058650005,0.44183702421257987,3.5151181058650005,1.9154571699999998,0.2822536,3.2026921498650003,3.8275440618650003
benchmark-editor Godot_v4.0-alpha5_linux.64,3.799428380365,0.033787176329874755,3.799428380365,1.89909467,0.2703011,3.775537238865,3.8233195218650002
benchmark-editor Godot_v4.0-alpha6_linux.64,4.226475823365,0.02285728114907752,4.226475823365,2.46578517,0.2852401,4.210313284865,4.2426383618650005
benchmark-editor Godot_v4.0-alpha7_linux.64,3.014201432865,0.049092517457900206,3.014201432865,2.39833067,0.28555660000000005,2.979487780865,3.0489150848650004
benchmark-editor Godot_v4.0-alpha8_linux.64,3.9359272718650002,0.025347949527401596,3.9359272718650002,2.39071517,0.2841886,3.9180035648650002,3.9538509788650003
benchmark-editor Godot_v4.0-alpha9_linux.64,4.238653210365,0.010691240278185458,4.238653210365,2.51651817,0.3068596,4.231093361865001,4.246213058865
benchmark-editor Godot_v4.0-dev.20210727_linux.64,3.3278466423650004,0.7400310044006624,3.3278466423650004,1.69587267,0.23542359999999998,2.804565700865,3.8511275838650003
benchmark-editor Godot_v4.0-dev.20210811_linux.64,3.1392647963650004,0.005859933195728829,3.1392647963650004,1.71233117,0.2254371,3.135121197865,3.1434083948650002
benchmark-editor Godot_v4.0-dev.20210820_linux.64,3.8512794503650003,0.00796508624984322,3.8512794503650003,1.68600417,0.2493261,3.8456472838650004,3.856911616865
benchmark-editor Godot_v4.0-dev.20210916_linux.64,3.148305170365,0.008585012421763915,3.148305170365,1.71418367,0.2641796,3.1422346498650002,3.1543756908650002
benchmark-editor Godot_v4.0-dev.20210924_linux.64,3.852885118365,0.009514369935345001,3.852885118365,1.72518867,0.25657610000000003,3.8461574428650005,3.8596127938650002
benchmark-editor Godot_v4.0-dev.20211004_linux.64,3.491723987865,0.5072607568521844,3.491723987865,1.73788867,0.25847660000000006,3.133036466865,3.850411508865
