command,mean,stddev,median,user,system,min,max
benchmark-editor Godot_v3.0.1-stable_x11.64,2.15596224563,0.005212575040846246,2.15402539419,1.0941020549999998,0.09714241000000001,2.14916665519,2.1700152571899998
benchmark-editor Godot_v3.0.2-stable_x11.64,2.1556839953500004,0.0035862016462427453,2.15412418319,1.101433895,0.09684148999999997,2.14962454719,2.16591674519
benchmark-editor Godot_v3.0.3-stable_x11.64,2.15049211259,0.005072112284403026,2.1486426821899998,1.127428255,0.09721473,2.14467211519,2.17101025019
benchmark-editor Godot_v3.0.4-stable_x11.64,2.14994752011,0.0036779464154633574,2.1484771881899998,1.123330055,0.09594421,2.14437041519,2.15685038819
benchmark-editor Godot_v3.0.5-stable_x11.64,2.14982555619,0.003718307423358646,2.14815049719,1.1255627750000001,0.09715368999999999,2.14524879019,2.1591011831899998
benchmark-editor Godot_v3.0.6-stable_x11.64,2.1497202610699997,0.003405644380863132,2.14891485219,1.1268528950000003,0.09336201,2.14454502819,2.16112580919
benchmark-editor Godot_v3.1.1-stable_x11.64,2.21747760395,0.005327485716041412,2.21554214819,0.8764910950000002,0.15068292999999996,2.21152116119,2.23619199619
benchmark-editor Godot_v3.1.2-stable_x11.64,2.22870363383,0.004991171000197525,2.22670232719,0.875914935,0.15030781,2.22053989019,2.23886446019
benchmark-editor Godot_v3.1-stable_x11.64,2.2186783897100004,0.004293042910331052,2.21802402819,0.8501045349999998,0.14576185,2.21465330619,2.23175791419
benchmark-editor Godot_v3.2.1-stable_x11.64,2.2178817925099996,0.0028286212034134093,2.21821188319,0.9292031749999999,0.14822676999999998,2.20833879919,2.22240951919
benchmark-editor Godot_v3.2.2-stable_x11.64,2.2203163713900005,0.004167806597093338,2.21952728419,0.9549425350000001,0.15030260999999998,2.21355495119,2.22974862119
benchmark-editor Godot_v3.2.3-stable_x11.64,2.73073201991,0.00491353545551151,2.73009565019,0.9730570549999997,0.17092668999999996,2.71717238019,2.73962639219
benchmark-editor Godot_v3.2-stable_x11.64,2.2188540084699997,0.005646772473858586,2.21786778019,0.9635174549999997,0.15447953,2.20717067819,2.22915178319
benchmark-editor Godot_v3.3.1-stable_x11.64,3.7981154657899996,0.020535729071449484,3.79321674219,1.083037495,0.19169461,3.74394815419,3.85241398219
benchmark-editor Godot_v3.3.2-stable_x11.64,3.79427014519,0.030189054547447965,3.79384404819,1.075197735,0.19709208999999997,3.68618881619,3.84046265419
benchmark-editor Godot_v3.3.3-stable_x11.64,3.7690417686699997,0.1672410449460317,3.79736722119,1.081152415,0.19425413,2.99605917919,3.85455200719
benchmark-editor Godot_v3.3.4-stable_x11.64,3.758227191109999,0.1855636433093041,3.79207432719,1.084534815,0.19406837,2.8925364731900003,3.85010161619
benchmark-editor Godot_v3.3-stable_x11.64,3.8118736377499998,0.0257301009444651,3.79795287819,1.0844583749999999,0.19744285,3.78621616219,3.85683704019
benchmark-editor Godot_v3.4.1-stable_x11.64,3.75822632863,0.2349421534819739,3.8448485841899998,1.0911464549999998,0.19867113,2.99111344219,3.89265786119
benchmark-editor Godot_v3.4.2-stable_x11.64,3.7832408387499994,0.16957630130331217,3.83968497219,1.0804299750000004,0.20213140999999996,2.99572347719,3.89103221719
benchmark-editor Godot_v3.4.3-stable_x11.64,3.8259773210300008,0.04519511128602936,3.84286044619,1.0851785750000003,0.19820017,3.73925392219,3.89444019419
benchmark-editor Godot_v3.4.4-stable_x11.64,3.8267710538299995,0.054864285339924254,3.84715106819,1.0949212950000002,0.19983657000000002,3.6902491031899998,3.89896144619
benchmark-editor Godot_v3.4-stable_x11.64,3.811120961509999,0.05128252078542142,3.83798251619,1.0866219750000001,0.20037624999999998,3.69258609319,3.89743578719
benchmark-editor Godot_v3.5-beta1_x11.64,3.7962425867099996,0.17381944306495536,3.84318427019,1.1061372950000001,0.20253329,2.9968960241900002,3.89249627519
benchmark-editor Godot_v3.5-beta2_x11.64,3.875366786149999,0.036359339872195286,3.8920301191899997,1.2491571350000001,0.20289461000000006,3.75013355019,3.90679046819
benchmark-editor Godot_v3.5-beta3_x11.64,4.1537788443500006,0.04570178781516428,4.14971529919,1.5931512549999995,0.20734633,3.99745710419,4.206060192190001
benchmark-editor Godot_v3.5-beta4_x11.64,3.0825524045099995,0.2001592936129203,3.13293811119,1.5632296149999996,0.19033917000000009,2.14081292019,3.14102631919
benchmark-editor Godot_v3.5-beta5_x11.64,3.05281036515,0.2618394765625579,3.13243332019,1.569507855,0.18830481000000002,2.18877615219,3.14984173819
benchmark-editor Godot_v3.5-rc1_x11.64,3.05293763095,0.27041385075046825,3.13186560019,1.5615874150000004,0.18981593,2.13405739819,3.14670021219
benchmark-editor Godot_v3.5-rc2_x11.64,3.085987200149999,0.1928268361533764,3.13610360519,1.581860335,0.19015068999999996,2.18500688219,3.14530824019
benchmark-editor Godot_v3.5-rc3_x11.64,3.3730842099899996,0.11620090503284451,3.43090116519,1.5617121349999998,0.19811621000000001,3.13183657419,3.44579490919
benchmark-editor Godot_v3.5-rc4_x11.64,3.56660856143,0.17231820863186548,3.63525732519,1.6787659350000002,0.25242560999999997,2.84096988819,3.66121641419
benchmark-editor Godot_v4.0-alpha10_linux.64,5.92801808223,0.41540514385358646,6.22368213919,13.973431974999999,0.3288512899999999,5.38891948819,6.32524981419
benchmark-editor Godot_v4.0-alpha1_linux.64,4.3277349126299995,0.4229972544792814,4.38467924419,5.798794815,0.28440065000000003,3.82929262119,4.791842255190001
